          it         t                          a(i)                     emegas(i)              emepla(i)/5.97d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                     sigmag_0
           1   74701.000000000000       0.70115887501766494        0.0000000000000000        5.0008529342178691E-002   246141095.36503866        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           2   74801.000000000000       0.70115451803969975        0.0000000000000000        5.0058347207096232E-002   246222748.23962536        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           3   74901.000000000000       0.70115015679105985        0.0000000000000000        5.0108021342236631E-002   246304111.80672878        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           4   75001.000000000000       0.70114579128428001        0.0000000000000000        5.0157551974139215E-002   246385186.99094218        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           5   75101.000000000000       0.70114142153187431        0.0000000000000000        5.0206939330473488E-002   246465974.71462920        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           6   75201.000000000000       0.70113704754633643        0.0000000000000000        5.0256183640024599E-002   246546475.89792371        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           7   75301.000000000000       0.70113266934013907        0.0000000000000000        5.0305285132678963E-002   246626691.45872965        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           8   75401.000000000000       0.70112828692573415        0.0000000000000000        5.0354244039409912E-002   246706622.31272107        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           9   75501.000000000000       0.70112390031555272        0.0000000000000000        5.0403060592263446E-002   246786269.37334222        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          10   75601.000000000000       0.70111950952200486        0.0000000000000000        5.0451735024344080E-002   246865633.55180737        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          11   75701.000000000000       0.70111511455747932        0.0000000000000000        5.0500267569800743E-002   246944715.75710118        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          12   75801.000000000000       0.70111071543434389        0.0000000000000000        5.0548658463812818E-002   247023516.89597872        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          13   75901.000000000000       0.70110631216494490        0.0000000000000000        5.0596907942576194E-002   247102037.87296581        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          14   76001.000000000000       0.70110190476160739        0.0000000000000000        5.0645016243289473E-002   247180279.59035912        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          15   76101.000000000000       0.70109749323663506        0.0000000000000000        5.0692983604140186E-002   247258242.94822654        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          16   76201.000000000000       0.70109307760230988        0.0000000000000000        5.0740810264291163E-002   247335928.84440768        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          17   76301.000000000000       0.70108865787089225        0.0000000000000000        5.0788496463866940E-002   247413338.17451403        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          18   76401.000000000000       0.70108423405462095        0.0000000000000000        5.0836042443940251E-002   247490471.83192971        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          19   76501.000000000000       0.70107980616571286        0.0000000000000000        5.0883448446518632E-002   247567330.70781168        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          20   76601.000000000000       0.70107537421636312        0.0000000000000000        5.0930714714531089E-002   247643915.69109046        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          21   76701.000000000000       0.70107093821874500        0.0000000000000000        5.0977841491814828E-002   247720227.66847071        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          22   76801.000000000000       0.70106649818500955        0.0000000000000000        5.1024829023102118E-002   247796267.52443179        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          23   76901.000000000000       0.70106205412728595        0.0000000000000000        5.1071677554007162E-002   247872036.14122856        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          24   77001.000000000000       0.70105760605768108        0.0000000000000000        5.1118387331013149E-002   247947534.39889202        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          25   77101.000000000000       0.70105315398827961        0.0000000000000000        5.1164958601459282E-002   248022763.17523018        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          26   77201.000000000000       0.70104869793114399        0.0000000000000000        5.1211391613527960E-002   248097723.34582871        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          27   77301.000000000000       0.70104423789831416        0.0000000000000000        5.1257686616232007E-002   248172415.78405207        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          28   77401.000000000000       0.70103977390180783        0.0000000000000000        5.1303843859402010E-002   248246841.36104408        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          29   77501.000000000000       0.70103530595361996        0.0000000000000000        5.1349863593673710E-002   248321000.94572914        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          30   77601.000000000000       0.70103083406572309        0.0000000000000000        5.1395746070475479E-002   248394895.40481308        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
