          it         t                          a(i)                     emegas(i)              emepla(i)/5.97d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                     sigmag_0
           1   49601.000000000000       0.62827281584462280        0.0000000000000000        5.0029587201609230E-002   234953300.79895514        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           2   49701.000000000000       0.62827049138746582        0.0000000000000000        5.0103682545384380E-002   235069120.26710191        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           3   49801.000000000000       0.62826816500978588        0.0000000000000000        5.0177484477440713E-002   235184368.20764181        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           4   49901.000000000000       0.62826583672968161        0.0000000000000000        5.0250993583172331E-002   235299047.15132204        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           5   50001.000000000000       0.62826350656518382        0.0000000000000000        5.0324210453258168E-002   235413159.62065792        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           6   50101.000000000000       0.62826117453425512        0.0000000000000000        5.0397135683575220E-002   235526708.12992764        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           7   50201.000000000000       0.62825884065478987        0.0000000000000000        5.0469769875112563E-002   235639695.18516749        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           8   50301.000000000000       0.62825650494461394        0.0000000000000000        5.0542113633885909E-002   235752123.28416753        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           9   50401.000000000000       0.62825416742148454        0.0000000000000000        5.0614167570852915E-002   235863994.91646743        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          10   50501.000000000000       0.62825182810309010        0.0000000000000000        5.0685932301829106E-002   235975312.56335315        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          11   50601.000000000000       0.62824948700705019        0.0000000000000000        5.0757408447404485E-002   236086078.69785383        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          12   50701.000000000000       0.62824714415091509        0.0000000000000000        5.0828596632860774E-002   236196295.78473887        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          13   50801.000000000000       0.62824479955216594        0.0000000000000000        5.0899497488089335E-002   236305966.28051585        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          14   50901.000000000000       0.62824245322821448        0.0000000000000000        5.0970111647509780E-002   236415092.63342854        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          15   51001.000000000000       0.62824010519640294        0.0000000000000000        5.1040439749989154E-002   236523677.28345531        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          16   51101.000000000000       0.62823775547400385        0.0000000000000000        5.1110482438761859E-002   236631722.66230816        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          17   51201.000000000000       0.62823540407821998        0.0000000000000000        5.1180240361350181E-002   236739231.19343185        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          18   51301.000000000000       0.62823305102618432        0.0000000000000000        5.1249714169485497E-002   236846205.29200369        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          19   51401.000000000000       0.62823069633495976        0.0000000000000000        5.1318904519030123E-002   236952647.36493349        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          20   51501.000000000000       0.62822834002153916        0.0000000000000000        5.1387812069899799E-002   237058559.81086385        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          21   51601.000000000000       0.62822598210284508        0.0000000000000000        5.1456437485986863E-002   237163945.02017125        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          22   51701.000000000000       0.62822362259572984        0.0000000000000000        5.1524781435084009E-002   237268805.37496677        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          23   51801.000000000000       0.62822126151697533        0.0000000000000000        5.1592844588808771E-002   237373143.24909794        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          24   51901.000000000000       0.62821889888329296        0.0000000000000000        5.1660627622528592E-002   237476961.00815031        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          25   52001.000000000000       0.62821653471132377        0.0000000000000000        5.1728131215286521E-002   237580261.00944984        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          26   52101.000000000000       0.62821416901763794        0.0000000000000000        5.1795356049727639E-002   237683045.60206535        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          27   52201.000000000000       0.62821180181873515        0.0000000000000000        5.1862302812026015E-002   237785317.12681136        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          28   52301.000000000000       0.62820943313104416        0.0000000000000000        5.1928972191812389E-002   237887077.91625145        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          29   52401.000000000000       0.62820706297092310        0.0000000000000000        5.1995364882102421E-002   237988330.29470164        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          30   52501.000000000000       0.62820469135465906        0.0000000000000000        5.2061481579225612E-002   238089076.57823437        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          31   52601.000000000000       0.62820231829846840        0.0000000000000000        5.2127322982754846E-002   238189319.07468277        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          32   52701.000000000000       0.62819994381849631        0.0000000000000000        5.2192889795436591E-002   238289060.08364502        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          33   52801.000000000000       0.62819756793081705        0.0000000000000000        5.2258182723121618E-002   238388301.89648935        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          34   52901.000000000000       0.62819519065143392        0.0000000000000000        5.2323202474696531E-002   238487046.79635903        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          35   53001.000000000000       0.62819281199627919        0.0000000000000000        5.2387949762015718E-002   238585297.05817801        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          36   53101.000000000000       0.62819043198121383        0.0000000000000000        5.2452425299834064E-002   238683054.94865653        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          38   53301.000000000000       0.62818566793444020        0.0000000000000000        5.2580564000090591E-002   238877102.64140174        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          39   53401.000000000000       0.62818328393409850        0.0000000000000000        5.2644228605943581E-002   238973396.93607685        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          40   53501.000000000000       0.62818089863657944        0.0000000000000000        5.2707624348995022E-002   239069207.84424183        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          42   53701.000000000000       0.62817612421195945        0.0000000000000000        5.2833612162277978E-002   239259388.39582431        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          43   53801.000000000000       0.62817373511565588        0.0000000000000000        5.2896205696512176E-002   239353762.46620867        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          45   54001.000000000000       0.62816895323152167        0.0000000000000000        5.3020595698145837E-002   239541089.20239130        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          46   54101.000000000000       0.62816656047406150        0.0000000000000000        5.3082393643666660E-002   239634046.24623966        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          48   54301.000000000000       0.52145859166959341        0.0000000000000000        5.0022918774703391E-002   198141000.40844250        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          48   54301.000000000000       0.62816177140374840        0.0000000000000000        5.3205199136011495E-002   239818558.56957793        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          49   54401.000000000000       0.52145486353738935        0.0000000000000000        5.0037019489575105E-002   198159612.82633933        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          49   54401.000000000000       0.62815937512083952        0.0000000000000000        5.3266208173977994E-002   239910118.17835817        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          51   54601.000000000000       0.52144739168133303        0.0000000000000000        5.0064864038571466E-002   198196356.41447064        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          51   54601.000000000000       0.62815457913384487        0.0000000000000000        5.3387442576605881E-002   240091855.05257803        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          53   54801.000000000000       0.52143989902800236        0.0000000000000000        5.0092239197370950E-002   198232467.43308470        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          53   54801.000000000000       0.62814977868355681        0.0000000000000000        5.3507637094938519E-002   240271763.05788568        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          55   55001.000000000000       0.52143238556659333        0.0000000000000000        5.0119152605033648E-002   198267956.63653401        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          55   55001.000000000000       0.62814497388691393        0.0000000000000000        5.3626797770829654E-002   240449859.18794134        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          56   55101.000000000000       0.52142862102926291        0.0000000000000000        5.0132438507863294E-002   198285471.36940631        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          56   55101.000000000000       0.62814256989494299        0.0000000000000000        5.3685992313582190E-002   240538233.07503405        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          58   55301.000000000000       0.52142107633372203        0.0000000000000000        5.0158673360504183E-002   198320047.62470585        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          58   55301.000000000000       0.62813775879555067        0.0000000000000000        5.3803613614560653E-002   240713642.97362342        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          60   55501.000000000000       0.52141351079959597        0.0000000000000000        5.0184465058877151E-002   198354028.17571223        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          60   55501.000000000000       0.62813294363719874        0.0000000000000000        5.3920216295394272E-002   240887282.91829911        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          63   55801.000000000000       0.52140212339615422        0.0000000000000000        5.0222337504207723E-002   198403904.19534495        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          63   55801.000000000000       0.62812571353596347        0.0000000000000000        5.4093223822344633E-002   241144460.32766762        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          65   56001.000000000000       0.52139450570449575        0.0000000000000000        5.0247052760567942E-002   198436439.48683062        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          65   56001.000000000000       0.62812088872205052        0.0000000000000000        5.4207306824904190E-002   241313747.49037904        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          65   56001.000000000000       0.72417535085859708        0.0000000000000000        6.0713668600751808E-002   249601340.29211774        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
