          it         t                          a(i)                     emegas(i)               emepla(i)/5.7d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                    sigmag_0
           1   75701.000000000000        1.8599026433463037        0.0000000000000000        5.0036280891200317E-002   331554233.28450698        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           2   75801.000000000000        1.8598958201629858        0.0000000000000000        5.0175790037663807E-002   331861518.58456343        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           3   75901.000000000000        1.8598889774847764        0.0000000000000000        5.0315532147593718E-002   332168746.63676488        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           4   76001.000000000000        1.8598821152760630        0.0000000000000000        5.0455507297871890E-002   332475917.40112233        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           5   76101.000000000000        1.8598752335012072        0.0000000000000000        5.0595715565022410E-002   332783030.83768851        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           6   76201.000000000000        1.8598683321245453        0.0000000000000000        5.0736157025211656E-002   333090086.90655756        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           7   76301.000000000000        1.8598614111103875        0.0000000000000000        5.0876831754248383E-002   333397085.56786531        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           8   76401.000000000000        1.8598544704230189        0.0000000000000000        5.1017739827583744E-002   333704026.78178918        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           9   76501.000000000000        1.8598475100266985        0.0000000000000000        5.1158881320311378E-002   334010910.50854826        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          10   76601.000000000000        1.8598405298856602        0.0000000000000000        5.1300256307167419E-002   334317736.70840311        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          11   76701.000000000000        1.8598335299641122        0.0000000000000000        5.1441864862530613E-002   334624505.34165597        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          12   76801.000000000000        1.8598265102262372        0.0000000000000000        5.1583707060422319E-002   334931216.36865067        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
