          it         t                          a(i)                     emegas(i)               emepla(i)/5.7d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                    sigmag_0
           1   63601.000000000000        1.7419095554017454        0.0000000000000000        5.0060883769685961E-002   329777486.44599319        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           2   63701.000000000000        1.7419033313155317        0.0000000000000000        5.0227598339686298E-002   330142350.34330595        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           3   63801.000000000000        1.7418970866078580        0.0000000000000000        5.0394644667954375E-002   330507131.61318105        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           4   63901.000000000000        1.7418908212381399        0.0000000000000000        5.0562022879699978E-002   330871830.18540263        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           5   64001.000000000000        1.7418845351657795        0.0000000000000000        5.0729733099387789E-002   331236445.98984081        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           6   64101.000000000000        1.7418782283501661        0.0000000000000000        5.0897775450737516E-002   331600978.95645171        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           7   64201.000000000000        1.7418719007506762        0.0000000000000000        5.1066150056724033E-002   331965429.01527745        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           8   64301.000000000000        1.7418655523266733        0.0000000000000000        5.1234857039577503E-002   332329796.09644616        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           9   64401.000000000000        1.7418591830375083        0.0000000000000000        5.1403896520783532E-002   332694080.13017195        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          10   64501.000000000000        1.7418527928425194        0.0000000000000000        5.1573268621083274E-002   333058281.04675496        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          11   64601.000000000000        1.7418463817010321        0.0000000000000000        5.1742973460473594E-002   333422398.77658117        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          12   64701.000000000000        1.7418399495723600        0.0000000000000000        5.1913011158207220E-002   333786433.25012261        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          13   64801.000000000000        1.7418334964158040        0.0000000000000000        5.2083381832792867E-002   334150384.39793736        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          14   64901.000000000000        1.7418270221906531        0.0000000000000000        5.2254085601995383E-002   334514252.15066940        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          15   65001.000000000000        1.7418205268561842        0.0000000000000000        5.2425122582835916E-002   334878036.43904865        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
