          it         t                          a(i)                     emegas(i)               emepla(i)/5.7d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                    sigmag_0
           1   25201.000000000000       0.48351933961587873        0.0000000000000000        5.1051429900846358E-002   190693592.47672376        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           2   25301.000000000000       0.48351189218119833        0.0000000000000000        5.1206107026400598E-002   190885600.41261774        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           3   25401.000000000000       0.48350442190008724        0.0000000000000000        5.1359429540581591E-002   191075549.69384360        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           4   25501.000000000000       0.48349692896711804        0.0000000000000000        5.1511403962129214E-002   191263460.16222560        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           5   25601.000000000000       0.48348941357601188        0.0000000000000000        5.1662036906237385E-002   191449351.51707637        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           6   25701.000000000000       0.48348187591962494        0.0000000000000000        5.1811335080772819E-002   191633243.31509659        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           7   25801.000000000000       0.48347431618993497        0.0000000000000000        5.1959305282560923E-002   191815154.97030726        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           8   25901.000000000000       0.48346673457802880        0.0000000000000000        5.2105954393738454E-002   191995105.75401369        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           9   26001.000000000000       0.48345913127408979        0.0000000000000000        5.2251289378172645E-002   192173114.79480022        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          10   26101.000000000000       0.48345150646738622        0.0000000000000000        5.2395317277946364E-002   192349201.07855496        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          11   26201.000000000000       0.48344386034626008        0.0000000000000000        5.2538045209908971E-002   192523383.44852397        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          12   26301.000000000000       0.48343619309811608        0.0000000000000000        5.2679480362292454E-002   192695680.60539389        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          13   26401.000000000000       0.48342850490941142        0.0000000000000000        5.2819629991392281E-002   192866111.10740224        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          14   26501.000000000000       0.48342079596564591        0.0000000000000000        5.2958501418312709E-002   193034693.37047470        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          15   26601.000000000000       0.48341306645135240        0.0000000000000000        5.3096102025775825E-002   193201445.66838875        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          16   26701.000000000000       0.48340531655008795        0.0000000000000000        5.3232439254994025E-002   193366386.13296276        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          17   26801.000000000000       0.48339754644442512        0.0000000000000000        5.3367520602605238E-002   193529532.75426981        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          18   26901.000000000000       0.48338975631594383        0.0000000000000000        5.3501353617670451E-002   193690903.38087586        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          19   27001.000000000000       0.48338194634522358        0.0000000000000000        5.3633945898732917E-002   193850515.72010106        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          20   27101.000000000000       0.48337411671183622        0.0000000000000000        5.3765305090938520E-002   194008387.33830392        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          21   27201.000000000000       0.48336626759433893        0.0000000000000000        5.3895438883216608E-002   194164535.66118765        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          22   27301.000000000000       0.48335839917026763        0.0000000000000000        5.4024355005520858E-002   194318977.97412774        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          23   27401.000000000000       0.48335051161613080        0.0000000000000000        5.4152061226129339E-002   194471731.42252037        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          24   27501.000000000000       0.48334260510740368        0.0000000000000000        5.4278565349003327E-002   194622813.01215097        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          25   27601.000000000000       0.48333467981852291        0.0000000000000000        5.4403875211204128E-002   194772239.60958242        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          26   27701.000000000000       0.48332673592288122        0.0000000000000000        5.4527998680367305E-002   194920027.94256181        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          27   27801.000000000000       0.48331877359282294        0.0000000000000000        5.4650943652233573E-002   195066194.60044587        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          28   27901.000000000000       0.48331079299963936        0.0000000000000000        5.4772718048235865E-002   195210756.03464392        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          29   28001.000000000000       0.48330279431356477        0.0000000000000000        5.4893329813141621E-002   195353728.55907795        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          30   28101.000000000000       0.48329477770377277        0.0000000000000000        5.5012786912749925E-002   195495128.35065943        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          31   28201.000000000000       0.48328674333837268        0.0000000000000000        5.5131097331642551E-002   195634971.44978189        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          32   28301.000000000000       0.48327869138440660        0.0000000000000000        5.5248269070988350E-002   195773273.76082915        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          33   28401.000000000000       0.48327062200784637        0.0000000000000000        5.5364310146400239E-002   195910051.05269846        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          34   28501.000000000000       0.48326253537359121        0.0000000000000000        5.5479228585844101E-002   196045318.95933795        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          35   28601.000000000000       0.48325443164546544        0.0000000000000000        5.5593032427598957E-002   196179092.98029813        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          36   28701.000000000000       0.48324631098621657        0.0000000000000000        5.5705729718267462E-002   196311388.48129660        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          38   28901.000000000000       0.48323001951994515        0.0000000000000000        5.5927836862785872E-002   196571604.72059274        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          39   29001.000000000000       0.48322184903301951        0.0000000000000000        5.6037262834247516E-002   196699555.52642202        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          40   29101.000000000000       0.48321366225516238        0.0000000000000000        5.6145614486209534E-002   196826087.94856822        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          42   29301.000000000000       0.48319724045494378        0.0000000000000000        5.6359127069431289E-002   197074956.33346027        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          43   29401.000000000000       0.48318900574401952        0.0000000000000000        5.6464304111452340E-002   197197321.31720099        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          45   29601.000000000000       0.48317248947101077        0.0000000000000000        5.6671539931731928E-002   197437984.45211262        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          46   29701.000000000000       0.48316420821386596        0.0000000000000000        5.6773614780980149E-002   197556310.85295081        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          48   29901.000000000000       0.48314760021253167        0.0000000000000000        5.6974718459193580E-002   197789022.99301481        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
