          it         t                          a(i)                     emegas(i)              emepla(i)/5.97d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                     sigmag_0
           1   18201.000000000000       0.36999600585410475        0.0000000000000000        5.0021496320128103E-002   170656918.19478020        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           2   18301.000000000000       0.36998898547015419        0.0000000000000000        5.0087389526726374E-002   170731754.93961284        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           3   18401.000000000000       0.36998195925218935        0.0000000000000000        5.0151740505972348E-002   170804778.36484131        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           4   18501.000000000000       0.36997492742488314        0.0000000000000000        5.0214583210656576E-002   170876031.46542901        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           5   18601.000000000000       0.36996789020788212        0.0000000000000000        5.0275950948567572E-002   170945556.26019600        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           6   18701.000000000000       0.36996084781590471        0.0000000000000000        5.0335876389629788E-002   171013393.81193361        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           7   18801.000000000000       0.36995380045883819        0.0000000000000000        5.0394391573249833E-002   171079584.24720487        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           8   18901.000000000000       0.36994674834183433        0.0000000000000000        5.0451527915849996E-002   171144166.77583015        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           9   19001.000000000000       0.36993969166540408        0.0000000000000000        5.0507316218569243E-002   171207179.71005803        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          10   19101.000000000000       0.36993263062551079        0.0000000000000000        5.0561786675112887E-002   171268660.48342204        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          11   19201.000000000000       0.36992556541366223        0.0000000000000000        5.0614968879733033E-002   171328645.66928339        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          12   19301.000000000000       0.36991849621700124        0.0000000000000000        5.0666891835323163E-002   171387170.99906096        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          13   19401.000000000000       0.36991142321839515        0.0000000000000000        5.0717583961610718E-002   171444271.38014987        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          14   19501.000000000000       0.36990434659652394        0.0000000000000000        5.0767073103432953E-002   171499980.91352960        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          15   19601.000000000000       0.36989726652596683        0.0000000000000000        5.0815386539081624E-002   171554332.91106379        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          16   19701.000000000000       0.36989018317728783        0.0000000000000000        5.0862550988703396E-002   171607359.91249341        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          17   19801.000000000000       0.36988309671711972        0.0000000000000000        5.0908592622743325E-002   171659093.70212561        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          18   19901.000000000000       0.36987600730824688        0.0000000000000000        5.0953537070419622E-002   171709565.32522014        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          19   20001.000000000000       0.36986891510968661        0.0000000000000000        5.0997409428218649E-002   171758805.10407642        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          20   20101.000000000000       0.36986182027676923        0.0000000000000000        5.1040234268399660E-002   171806842.65382317        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          21   20201.000000000000       0.36985472296121680        0.0000000000000000        5.1082035647499711E-002   171853706.89791420        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          22   20301.000000000000       0.36984762331122045        0.0000000000000000        5.1122837114829386E-002   171899426.08333245        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          23   20401.000000000000       0.36984052147151653        0.0000000000000000        5.1162661720951026E-002   171944027.79550582        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          24   20501.000000000000       0.36983341758346122        0.0000000000000000        5.1201532026131390E-002   171987538.97293791        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          25   20601.000000000000       0.36982631178510394        0.0000000000000000        5.1239470108761322E-002   172029985.92155665        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
