          it       t  truncado con cos sigmap(n) a(i)                     emegas(i)               emepla(i)/5.7d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                     sigmag_0
          11   79301.000000000000       0.78579397051242783        0.0000000000000000        6.4729410024756767E-002   266385297.77068225        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          12   79401.000000000000       0.78578731609202890        0.0000000000000000        6.4811761763146916E-002   266498123.44592085        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          13   79501.000000000000       0.78578065361742666        0.0000000000000000        6.4893960870214484E-002   266610644.99897286        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          14   79601.000000000000       0.78577398310575775        0.0000000000000000        6.4976007313861162E-002   266722863.11437067        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          15   79701.000000000000       0.78576730457416044        0.0000000000000000        6.5057901064145135E-002   266834778.47586468        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          16   79801.000000000000       0.78576061803977493        0.0000000000000000        6.5139642093269390E-002   266946391.76641938        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          17   79901.000000000000       0.78575392351974260        0.0000000000000000        6.5221230375570136E-002   267057703.66820958        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          18   80001.000000000000       0.78574722103120609        0.0000000000000000        6.5302665887505149E-002   267168714.86261666        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          19   80101.000000000000       0.78574051059130900        0.0000000000000000        6.5383948607642198E-002   267279426.03022483        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          20   80201.000000000000       0.78573379221719564        0.0000000000000000        6.5465078516647429E-002   267389837.85081753        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          21   80301.000000000000       0.78572706592601071        0.0000000000000000        6.5546055597273806E-002   267499951.00337374        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          22   80401.000000000000       0.78572033173489941        0.0000000000000000        6.5626879834349588E-002   267609766.16606432        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          23   80501.000000000000       0.78571358966100691        0.0000000000000000        6.5707551214766763E-002   267719284.01624855        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          24   80601.000000000000       0.78570683972147803        0.0000000000000000        6.5788069727469603E-002   267828505.23047051        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          25   80701.000000000000       0.78570008193345742        0.0000000000000000        6.5868435363443126E-002   267937430.48445556        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          26   80801.000000000000       0.78569331631408912        0.0000000000000000        6.5948648115701586E-002   268046060.45310688        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          27   80901.000000000000       0.78568654288051620        0.0000000000000000        6.6028707979277138E-002   268154395.81050208        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          28   81001.000000000000       0.78567976164988085        0.0000000000000000        6.6108614951208330E-002   268262437.22988981        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          29   81101.000000000000       0.78567297263932379        0.0000000000000000        6.6188369030528729E-002   268370185.38368624        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          30   81201.000000000000       0.78566617586598453        0.0000000000000000        6.6267970218255479E-002   268477640.94347197        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          31   81301.000000000000       0.78565937134700070        0.0000000000000000        6.6347418517378035E-002   268584804.57998836        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          32   81401.000000000000       0.78565255909950815        0.0000000000000000        6.6426713932846701E-002   268691676.96313465        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          33   81501.000000000000       0.78564573914064062        0.0000000000000000        6.6505856471561445E-002   268798258.76196450        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          34   81601.000000000000       0.78563891148752951        0.0000000000000000        6.6584846142360460E-002   268904550.64468288        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          35   81701.000000000000       0.78563207615730368        0.0000000000000000        6.6663682956008996E-002   269010553.27864277        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          36   81801.000000000000       0.78562523316708932        0.0000000000000000        6.6742366925188049E-002   269116267.33034223        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          38   82001.000000000000       0.78561152427518466        0.0000000000000000        6.6899276390373186E-002   269326832.34865779        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          39   82101.000000000000       0.78560465840773119        0.0000000000000000        6.6977501921219096E-002   269431684.64396685        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          40   82201.000000000000       0.78559778494876253        0.0000000000000000        6.7055574677252885E-002   269536251.01439530        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          42   82401.000000000000       0.78558401532471323        0.0000000000000000        6.7211261955099980E-002   269744528.62844414        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          43   82501.000000000000       0.78557711919383966        0.0000000000000000        6.7288876526631999E-002   269848241.19379568        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          45   82701.000000000000       0.78556330437987976        0.0000000000000000        6.7443647672925641E-002   270054817.13889247        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          46   82801.000000000000       0.78555638573097386        0.0000000000000000        6.7520804308332322E-002   270157681.83508623        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
